title,category,description,url,"title,category,description,url"
04 Karan Karya Niyam.pdf,Other,,https://t.me/jainegranth/55964,"04 Karan Karya Niyam.pdf,Other,https://t.me/jainegranth/55964"
"04_टोडरमल_महाविद्यालय_E_पत्रिका_अंक_04,_22_फरवरी_2024_25_2_2.pdf",Other,,https://t.me/jainegranth/58540,"04_टोडरमल_महाविद्यालय_E_पत्रिका_अंक_04,_22_फरवरी_2024_25_2_2.pdf,Other,https://t.me/jainegranth/58540"
045. Gnaan Swabhav Aur Gye Swabhav.pdf,Other,,https://t.me/jainegranth/27404,"045. Gnaan Swabhav Aur Gye Swabhav.pdf,Other,https://t.me/jainegranth/27404"
05 aradhana kathakosh.pdf,Katha Kahani,,https://t.me/jainegranth/52643,"05 aradhana kathakosh.pdf,Katha Kahani,https://t.me/jainegranth/52643"
05 Karan Karya Niyam.pdf,Other,,https://t.me/jainegranth/55965,"05 Karan Karya Niyam.pdf,Other,https://t.me/jainegranth/55965"
050-51-52. Vitrag Vigyan Pravachan Part2-4 Chhadhala.pdf,Pravachan,,https://t.me/jainegranth/4677,"050-51-52. Vitrag Vigyan Pravachan Part2-4 Chhadhala.pdf,Pravachan,https://t.me/jainegranth/4677"
051. Divya Dhwani saar - 1.pdf,Other,,https://t.me/jainegranth/56270,"051. Divya Dhwani saar - 1.pdf,Other,https://t.me/jainegranth/56270"
056. Nay Pragyapan.pdf,Other,,https://t.me/jainegranth/7358,"056. Nay Pragyapan.pdf,Other,https://t.me/jainegranth/7358"
05SHUD~1.MP3,Other,,https://t.me/jainegranth/8464,"05SHUD~1.MP3,Other,https://t.me/jainegranth/8464"
06 Karan Karya Niyam.pdf,Other,,https://t.me/jainegranth/55966,"06 Karan Karya Niyam.pdf,Other,https://t.me/jainegranth/55966"
06. जनक नन्दिनी सीता.pdf,Other,,https://t.me/jainegranth/52084,"06. जनक नन्दिनी सीता.pdf,Other,https://t.me/jainegranth/52084"
064. Divya Dvanisar Pravachan Part- 2.pdf,Pravachan,,https://t.me/jainegranth/56265,"064. Divya Dvanisar Pravachan Part- 2.pdf,Pravachan,https://t.me/jainegranth/56265"
065. Divya Dvanisar Pravachan Part- 3.pdf,Pravachan,,https://t.me/jainegranth/56266,"065. Divya Dvanisar Pravachan Part- 3.pdf,Pravachan,https://t.me/jainegranth/56266"
065. Divya Dvanisar Pravachan Part- 3A.pdf,Pravachan,,https://t.me/jainegranth/56267,"065. Divya Dvanisar Pravachan Part- 3A.pdf,Pravachan,https://t.me/jainegranth/56267"
066. Divya Dvanisar Pravachan Part- 4.pdf,Pravachan,,https://t.me/jainegranth/56268,"066. Divya Dvanisar Pravachan Part- 4.pdf,Pravachan,https://t.me/jainegranth/56268"
067. Divya Dvanisar Pravachan Part- 5.pdf,Pravachan,,https://t.me/jainegranth/56269,"067. Divya Dvanisar Pravachan Part- 5.pdf,Pravachan,https://t.me/jainegranth/56269"
06-Sanyam dharm.pdf,Other,,https://t.me/jainegranth/55501,"06-Sanyam dharm.pdf,Other,https://t.me/jainegranth/55501"
07 atamanushashan.pdf,Other,,https://t.me/jainegranth/55734,"07 atamanushashan.pdf,Other,https://t.me/jainegranth/55734"
07 Karan Karya Niyam.pdf,Other,,https://t.me/jainegranth/55967,"07 Karan Karya Niyam.pdf,Other,https://t.me/jainegranth/55967"
07-Tap dharm.pdf,Other,,https://t.me/jainegranth/55563,"07-Tap dharm.pdf,Other,https://t.me/jainegranth/55563"
08 atmanveshi.pdf,Other,,https://t.me/jainegranth/12728,"08 atmanveshi.pdf,Other,https://t.me/jainegranth/12728"
08 JPP 17 April 2023.pdf,Other,,https://t.me/jainegranth/53557,"08 JPP 17 April 2023.pdf,Other,https://t.me/jainegranth/53557"
08 nandishvar dveep darshan 01.pdf,Other,,https://t.me/jainegranth/54954,"08 nandishvar dveep darshan 01.pdf,Other,https://t.me/jainegranth/54954"
"08. Maha Arghy, Shanti Path & Kshamapana.pdf",Other,,https://t.me/jainegranth/51127,"08. Maha Arghy, Shanti Path & Kshamapana.pdf,Other,https://t.me/jainegranth/51127"
088. Gyananand shabhavi anushilan.pdf,Other,,https://t.me/jainegranth/53180,"088. Gyananand shabhavi anushilan.pdf,Other,https://t.me/jainegranth/53180"
089. 47 Shakti Or 47 Nay.pdf,Other,,https://t.me/jainegranth/53234,"089. 47 Shakti Or 47 Nay.pdf,Other,https://t.me/jainegranth/53234"
08-Tyag  dharm.pdf,Other,,https://t.me/jainegranth/55596,"08-Tyag  dharm.pdf,Other,https://t.me/jainegranth/55596"
090. Tirthankar Mahaveer Aur Unka Sarvoday Tirth.pdf,Other,,https://t.me/jainegranth/57680,"090. Tirthankar Mahaveer Aur Unka Sarvoday Tirth.pdf,Other,https://t.me/jainegranth/57680"
094. Satya Ki Khoj.pdf,Other,,https://t.me/jainegranth/57092,"094. Satya Ki Khoj.pdf,Other,https://t.me/jainegranth/57092"
097.Dharma Ke Daslakshan.pdf,Other,,https://t.me/jainegranth/57085,"097.Dharma Ke Daslakshan.pdf,Other,https://t.me/jainegranth/57085"
098. Barah bhavana - Ek Anushilan.pdf,Other,,https://t.me/jainegranth/55250,"098. Barah bhavana - Ek Anushilan.pdf,Other,https://t.me/jainegranth/55250"
09-Aakinchan  dharm -.pdf,Other,,https://t.me/jainegranth/55617,"09-Aakinchan  dharm -.pdf,Other,https://t.me/jainegranth/55617"
0be06d6e0786c45b0f6a4ff642f8ef6b.mp4,Other,,https://t.me/jainegranth/51750,"0be06d6e0786c45b0f6a4ff642f8ef6b.mp4,Other,https://t.me/jainegranth/51750"
1 Adhyatm Vani ji.pdf,Other,,https://t.me/jainegranth/52210,"1 Adhyatm Vani ji.pdf,Other,https://t.me/jainegranth/52210"
1 Jain _Dharm_Ki_Khahaaniya_Part-1_H.pdf,Other,,https://t.me/jainegranth/13252,"1 Jain _Dharm_Ki_Khahaaniya_Part-1_H.pdf,Other,https://t.me/jainegranth/13252"
1 panch sangrah tatvanushasan 60 page.pdf,Other,,https://t.me/jainegranth/54853,"1 panch sangrah tatvanushasan 60 page.pdf,Other,https://t.me/jainegranth/54853"
1. सम्यग्दर्शन पूजन.pdf,Other,,https://t.me/jainegranth/57797,"1. सम्यग्दर्शन पूजन.pdf,Other,https://t.me/jainegranth/57797"
1.jpg,Other,,https://t.me/jainegranth/57050,"1.jpg,Other,https://t.me/jainegranth/57050"
1.Samaysaar (GyayakBhav Prabodhni).pdf,Samaysaar,,https://t.me/jainegranth/57669,"1.Samaysaar (GyayakBhav Prabodhni).pdf,Samaysaar,https://t.me/jainegranth/57669"
1_1_सम्यक्_ज्ञान_का_उदय_पत्रिका_1.pdf,Other,,https://t.me/jainegranth/56955,"1_1_सम्यक्_ज्ञान_का_उदय_पत्रिका_1.pdf,Other,https://t.me/jainegranth/56955"
1_2_सम्यक_ज्ञान_का_उदय_पत्रिका_जून_2024.pdf,Other,,https://t.me/jainegranth/57441,"1_2_सम्यक_ज्ञान_का_उदय_पत्रिका_जून_2024.pdf,Other,https://t.me/jainegranth/57441"
1_3_सम्यक_ज्ञान_का_उदय_पत्रिका_compressed.pdf,Other,,https://t.me/jainegranth/58152,"1_3_सम्यक_ज्ञान_का_उदय_पत्रिका_compressed.pdf,Other,https://t.me/jainegranth/58152"
1_Aatmaa-Parmatmaa.pdf,Other,,https://t.me/jainegranth/10296,"1_Aatmaa-Parmatmaa.pdf,Other,https://t.me/jainegranth/10296"
1_Barah Vrat.pdf,Other,,https://t.me/jainegranth/55138,"1_Barah Vrat.pdf,Other,https://t.me/jainegranth/55138"
1_Dev-Shastra-Guru.pdf,Other,,https://t.me/jainegranth/10328,"1_Dev-Shastra-Guru.pdf,Other,https://t.me/jainegranth/10328"
1_Mithyatva.pdf,Other,,https://t.me/jainegranth/10302,"1_Mithyatva.pdf,Other,https://t.me/jainegranth/10302"
1_MokshMarg Prakashak.pdf,Other,,https://t.me/jainegranth/49606,"1_MokshMarg Prakashak.pdf,Other,https://t.me/jainegranth/49606"
1_Namokaar-Mantra.pdf,Other,,https://t.me/jainegranth/10280,"1_Namokaar-Mantra.pdf,Other,https://t.me/jainegranth/10280"
1_Paap.pdf,Other,,https://t.me/jainegranth/10365,"1_Paap.pdf,Other,https://t.me/jainegranth/10365"
1_Panch_Samvay_upto_112.pdf,Other,,https://t.me/jainegranth/50602,"1_Panch_Samvay_upto_112.pdf,Other,https://t.me/jainegranth/50602"
1_Panch-Parmeshthi.pdf,Other,,https://t.me/jainegranth/10324,"1_Panch-Parmeshthi.pdf,Other,https://t.me/jainegranth/10324"
10 chintan vaibhav (1).pdf,Other,,https://t.me/jainegranth/52211,"10 chintan vaibhav (1).pdf,Other,https://t.me/jainegranth/52211"
10 Dharam Arth Hindi.pdf,Other,,https://t.me/jainegranth/55328,"10 Dharam Arth Hindi.pdf,Other,https://t.me/jainegranth/55328"
10 Dharm story.pdf,Other,,https://t.me/jainegranth/51267,"10 Dharm story.pdf,Other,https://t.me/jainegranth/51267"
10 Jain_Dharm_Ki_Khahaaniya_Part-10_H.pdf,Other,,https://t.me/jainegranth/13242,"10 Jain_Dharm_Ki_Khahaaniya_Part-10_H.pdf,Other,https://t.me/jainegranth/13242"
10 श्री शीतलनाथ जिनपूजन.pdf,Other,,https://t.me/jainegranth/48373,"10 श्री शीतलनाथ जिनपूजन.pdf,Other,https://t.me/jainegranth/48373"
10.jpg,Other,,https://t.me/jainegranth/57041,"10.jpg,Other,https://t.me/jainegranth/57041"
10_Mud Marg Sambhado.pdf,Other,,https://t.me/jainegranth/55992,"10_Mud Marg Sambhado.pdf,Other,https://t.me/jainegranth/55992"
10_Suksh Sampray.pdf,Other,,https://t.me/jainegranth/10273,"10_Suksh Sampray.pdf,Other,https://t.me/jainegranth/10273"
10_काय_मार्गणा_color.pdf,Other,,https://t.me/jainegranth/10274,"10_काय_मार्गणा_color.pdf,Other,https://t.me/jainegranth/10274"
100. Krambaddh Pariyay.pdf,Other,,https://t.me/jainegranth/53205,"100. Krambaddh Pariyay.pdf,Other,https://t.me/jainegranth/53205"
100..Main Swayam Bhagwan Hu.pdf,Other,,https://t.me/jainegranth/53178,"100..Main Swayam Bhagwan Hu.pdf,Other,https://t.me/jainegranth/53178"
102. Varagya book.pdf,Other,,https://t.me/jainegranth/53248,"102. Varagya book.pdf,Other,https://t.me/jainegranth/53248"
102.Atma Hi Hai Sharan.pdf,Other,,https://t.me/jainegranth/53212,"102.Atma Hi Hai Sharan.pdf,Other,https://t.me/jainegranth/53212"
103. Samaysar vidhan mandal.pdf,Vidhan,,https://t.me/jainegranth/53282,"103. Samaysar vidhan mandal.pdf,Vidhan,https://t.me/jainegranth/53282"
103.Aap Kuch Bhi Kaho,Other,,https://t.me/jainegranth/2024,"103.Aap Kuch Bhi Kaho,Other,https://t.me/jainegranth/2024"
103.Aap Kuch Bhi Kaho.pdf,Other,,https://t.me/jainegranth/53228,"103.Aap Kuch Bhi Kaho.pdf,Other,https://t.me/jainegranth/53228"
104. Samaysar vidhan mandal (gatha sahit).pdf,Vidhan,,https://t.me/jainegranth/54359,"104. Samaysar vidhan mandal (gatha sahit).pdf,Vidhan,https://t.me/jainegranth/54359"
104.dharmakedaslakshan_hin_scn.pdf,Other,,https://t.me/jainegranth/57881,"104.dharmakedaslakshan_hin_scn.pdf,Other,https://t.me/jainegranth/57881"
105.Nyamsar mahamandal vidhan.pdf,Vidhan,,https://t.me/jainegranth/53170,"105.Nyamsar mahamandal vidhan.pdf,Vidhan,https://t.me/jainegranth/53170"
106. Niyamsar mahamandal gatha.pdf,Niyamsaar,,https://t.me/jainegranth/53165,"106. Niyamsar mahamandal gatha.pdf,Niyamsaar,https://t.me/jainegranth/53165"
107. Pravachansar vidhanmandal vidhan.pdf,Vidhan,,https://t.me/jainegranth/53297,"107. Pravachansar vidhanmandal vidhan.pdf,Vidhan,https://t.me/jainegranth/53297"
108 Parshwanath.pdf,Other,,https://t.me/jainegranth/50829,"108 Parshwanath.pdf,Other,https://t.me/jainegranth/50829"
108. Pravachansar vidhan mandal gatha.pdf,Vidhan,,https://t.me/jainegranth/53299,"108. Pravachansar vidhan mandal gatha.pdf,Vidhan,https://t.me/jainegranth/53299"
108.ShuktiSudha.pdf,Other,,https://t.me/jainegranth/53266,"108.ShuktiSudha.pdf,Other,https://t.me/jainegranth/53266"
109. Drishti ka vishay.pdf,Other,,https://t.me/jainegranth/53581,"109. Drishti ka vishay.pdf,Other,https://t.me/jainegranth/53581"
10-Brahmacharya  dharm.pdf,Other,,https://t.me/jainegranth/55660,"10-Brahmacharya  dharm.pdf,Other,https://t.me/jainegranth/55660"
10-Gurudev-Bhakti-kahanswadhyay-parivar_Vfm4hZaO4IQ.mp3,Bhakti,,https://t.me/jainegranth/58752,"10-Gurudev-Bhakti-kahanswadhyay-parivar_Vfm4hZaO4IQ.mp3,Bhakti,https://t.me/jainegranth/58752"
10laxprav.pdf,Other,,https://t.me/jainegranth/55369,"10laxprav.pdf,Other,https://t.me/jainegranth/55369"
11 Jain_Dharm_Ki_Khahaaniya_Part-11_H.pdf,Other,,https://t.me/jainegranth/13243,"11 Jain_Dharm_Ki_Khahaaniya_Part-11_H.pdf,Other,https://t.me/jainegranth/13243"
11 om nama siddham.pdf,Other,,https://t.me/jainegranth/52212,"11 om nama siddham.pdf,Other,https://t.me/jainegranth/52212"
11.jpg,Other,,https://t.me/jainegranth/57042,"11.jpg,Other,https://t.me/jainegranth/57042"
11.Purusharth Sidhupay.pdf,Other,,https://t.me/jainegranth/11250,"11.Purusharth Sidhupay.pdf,Other,https://t.me/jainegranth/11250"
11_Upashant Moh.pdf,Other,,https://t.me/jainegranth/10279,"11_Upashant Moh.pdf,Other,https://t.me/jainegranth/10279"
11_योग_मार्गणा_1_color.pdf,Other,,https://t.me/jainegranth/10955,"11_योग_मार्गणा_1_color.pdf,Other,https://t.me/jainegranth/10955"
11_योग_मार्गणा_2_color.pdf,Other,,https://t.me/jainegranth/10957,"11_योग_मार्गणा_2_color.pdf,Other,https://t.me/jainegranth/10957"
110.NamokaarMahamantra-EkAnushilan (1).pdf,Other,,https://t.me/jainegranth/9023,"110.NamokaarMahamantra-EkAnushilan (1).pdf,Other,https://t.me/jainegranth/9023"
110.NamokaarMahamantra-EkAnushilan.pdf,Other,,https://t.me/jainegranth/53175,"110.NamokaarMahamantra-EkAnushilan.pdf,Other,https://t.me/jainegranth/53175"
111BikhareMoti.pdf,Other,,https://t.me/jainegranth/53203,"111BikhareMoti.pdf,Other,https://t.me/jainegranth/53203"
112. Chintan Ki Gahraiya.pdf,Other,,https://t.me/jainegranth/53197,"112. Chintan Ki Gahraiya.pdf,Other,https://t.me/jainegranth/53197"
113.GagarMeinSagar.pdf,Other,,https://t.me/jainegranth/53193,"113.GagarMeinSagar.pdf,Other,https://t.me/jainegranth/53193"
114..Nimit-Upadaan.pdf,Other,,https://t.me/jainegranth/54043,"114..Nimit-Upadaan.pdf,Other,https://t.me/jainegranth/54043"
115.ChaitanyaChamatkar.pdf,Other,,https://t.me/jainegranth/53214,"115.ChaitanyaChamatkar.pdf,Other,https://t.me/jainegranth/53214"
116.KundKund-Panch Parmagam.pdf,Other,,https://t.me/jainegranth/53225,"116.KundKund-Panch Parmagam.pdf,Other,https://t.me/jainegranth/53225"
117. Gatha Samaysaar.pdf,Samaysaar,,https://t.me/jainegranth/53192,"117. Gatha Samaysaar.pdf,Samaysaar,https://t.me/jainegranth/53192"
118.Panchkalyanak Pratishtha.pdf,Other,,https://t.me/jainegranth/53162,"118.Panchkalyanak Pratishtha.pdf,Other,https://t.me/jainegranth/53162"
119.Rahasya-RahasyaPurnaChithhiKa.pdf,Other,,https://t.me/jainegranth/55585,"119.Rahasya-RahasyaPurnaChithhiKa.pdf,Other,https://t.me/jainegranth/55585"
11-Kshamavani Parv.pdf,Other,,https://t.me/jainegranth/57952,"11-Kshamavani Parv.pdf,Other,https://t.me/jainegranth/57952"
11-meri-paheli.pdf,Other,,https://t.me/jainegranth/57930,"11-meri-paheli.pdf,Other,https://t.me/jainegranth/57930"
12 Bhavanas Hindi.pdf,Other,,https://t.me/jainegranth/21004,"12 Bhavanas Hindi.pdf,Other,https://t.me/jainegranth/21004"
12 Jain_Dharm_Ki_Khahaaniya_Part-12_H.pdf,Other,,https://t.me/jainegranth/13247,"12 Jain_Dharm_Ki_Khahaaniya_Part-12_H.pdf,Other,https://t.me/jainegranth/13247"
12 JPP 17 jun 2023.pdf,Other,,https://t.me/jainegranth/54103,"12 JPP 17 jun 2023.pdf,Other,https://t.me/jainegranth/54103"
12 mandir vidhi.pdf,Other,,https://t.me/jainegranth/52213,"12 mandir vidhi.pdf,Other,https://t.me/jainegranth/52213"
12.Chhadhhala (Sachitra).pdf,Other,,https://t.me/jainegranth/56104,"12.Chhadhhala (Sachitra).pdf,Other,https://t.me/jainegranth/56104"
12.jpg,Other,,https://t.me/jainegranth/57043,"12.jpg,Other,https://t.me/jainegranth/57043"
12_Kshin Moh.pdf,Other,,https://t.me/jainegranth/10325,"12_Kshin Moh.pdf,Other,https://t.me/jainegranth/10325"
120. Siddh Bhakti.pdf,Bhakti,,https://t.me/jainegranth/57497,"120. Siddh Bhakti.pdf,Bhakti,https://t.me/jainegranth/57497"
121. Bhagwan Mahaveer Or Unki Janmbhumi (1).pdf,Other,,https://t.me/jainegranth/10246,"121. Bhagwan Mahaveer Or Unki Janmbhumi (1).pdf,Other,https://t.me/jainegranth/10246"
121. Bhagwan Mahaveer Or Unki Janmbhumi.pdf,Other,,https://t.me/jainegranth/53204,"121. Bhagwan Mahaveer Or Unki Janmbhumi.pdf,Other,https://t.me/jainegranth/53204"
121_देव_शास्त्र_गुरु_समुच्चय_पूजन.pdf,Other,,https://t.me/jainegranth/10245,"121_देव_शास्त्र_गुरु_समुच्चय_पूजन.pdf,Other,https://t.me/jainegranth/10245"
122.RakshabandhanDeepavali.pdf,Other,,https://t.me/jainegranth/53296,"122.RakshabandhanDeepavali.pdf,Other,https://t.me/jainegranth/53296"
123.DhayanKaSwaroop.pdf,Other,,https://t.me/jainegranth/53207,"123.DhayanKaSwaroop.pdf,Other,https://t.me/jainegranth/53207"
124AhinsaMahavirKiDharsti.pdf,Other,,https://t.me/jainegranth/53231,"124AhinsaMahavirKiDharsti.pdf,Other,https://t.me/jainegranth/53231"
125. Vitragi vyakti bhagwan mahaveer.pdf,Other,,https://t.me/jainegranth/53237,"125. Vitragi vyakti bhagwan mahaveer.pdf,Other,https://t.me/jainegranth/53237"
126.Tirthankar Mahavir.pdf,Other,,https://t.me/jainegranth/53253,"126.Tirthankar Mahavir.pdf,Other,https://t.me/jainegranth/53253"
127. teethankar resbahdev.pdf,Other,,https://t.me/jainegranth/53252,"127. teethankar resbahdev.pdf,Other,https://t.me/jainegranth/53252"
128.Shaakahaar.pdf,Other,,https://t.me/jainegranth/53270,"128.Shaakahaar.pdf,Other,https://t.me/jainegranth/53270"
129.Paschattap.pdf,Other,,https://t.me/jainegranth/53309,"129.Paschattap.pdf,Other,https://t.me/jainegranth/53309"
13 gyanodaya.pdf,Other,,https://t.me/jainegranth/52214,"13 gyanodaya.pdf,Other,https://t.me/jainegranth/52214"
13 Jain_Dharm_Ki_Khahaaniya_Part-13_H.pdf,Other,,https://t.me/jainegranth/13248,"13 Jain_Dharm_Ki_Khahaaniya_Part-13_H.pdf,Other,https://t.me/jainegranth/13248"
13 JPP 02 agasth 2023.pdf,Other,,https://t.me/jainegranth/54765,"13 JPP 02 agasth 2023.pdf,Other,https://t.me/jainegranth/54765"
13..Chhadhala (Mool).pdf,Other,,https://t.me/jainegranth/2503,"13..Chhadhala (Mool).pdf,Other,https://t.me/jainegranth/2503"
13.jpg,Other,,https://t.me/jainegranth/57044,"13.jpg,Other,https://t.me/jainegranth/57044"
13_Sayoog Kewali.pdf,Other,,https://t.me/jainegranth/10344,"13_Sayoog Kewali.pdf,Other,https://t.me/jainegranth/10344"
130.Sammedshikhar.pdf,Other,,https://t.me/jainegranth/53268,"130.Sammedshikhar.pdf,Other,https://t.me/jainegranth/53268"
131. Goli Ka Jabab Gali Se bhi Nahi.pdf,Other,,https://t.me/jainegranth/53191,"131. Goli Ka Jabab Gali Se bhi Nahi.pdf,Other,https://t.me/jainegranth/53191"
1-32 pages holi book-1.pdf,Other,,https://t.me/jainegranth/42955,"1-32 pages holi book-1.pdf,Other,https://t.me/jainegranth/42955"
132.GomteshwarBahubali.pdf,Other,,https://t.me/jainegranth/53190,"132.GomteshwarBahubali.pdf,Other,https://t.me/jainegranth/53190"
133.YugPurush Shri KanjiSwami.pdf,Other,,https://t.me/jainegranth/53236,"133.YugPurush Shri KanjiSwami.pdf,Other,https://t.me/jainegranth/53236"
1333.jpg,Other,,https://t.me/jainegranth/49994,"1333.jpg,Other,https://t.me/jainegranth/49994"
13333.jpg,Other,,https://t.me/jainegranth/49995,"13333.jpg,Other,https://t.me/jainegranth/49995"
134.Anekant Syadwad.pdf,Other,,https://t.me/jainegranth/53227,"134.Anekant Syadwad.pdf,Other,https://t.me/jainegranth/53227"
135.Samadhi Maran book 64 page pdf.pdf,Other,,https://t.me/jainegranth/53411,"135.Samadhi Maran book 64 page pdf.pdf,Other,https://t.me/jainegranth/53411"
136.Ye meri Naria book.pdf,Other,,https://t.me/jainegranth/56790,"136.Ye meri Naria book.pdf,Other,https://t.me/jainegranth/56790"
